Cluster,Annotation
cluster_00001,Sup-PT
cluster_00002,Sup-PT
cluster_00003,Sup-PT
cluster_00004,CC7
cluster_00005,FalsePositive
cluster_00006,Sup-PT
cluster_00007,Sup-PO
cluster_00008,Sup-PT
cluster_00009,CC6
cluster_00010,Sup-PT
cluster_00011,FalsePositive
cluster_00012,Sup-PT
cluster_00013,Unclassified
cluster_00014,FalsePositive
cluster_00015,Sup-P
cluster_00016,FalsePositive
cluster_00017,Sup-P
cluster_00018,Sup-P
cluster_00019,Sup-PT
cluster_00020,Unclassified
cluster_00021,FalsePositive
cluster_00022,Sup-PT
cluster_00023,Sup-P
cluster_00024,Partial
cluster_00025,Sup-P
cluster_00026,Sup-PT
cluster_00027,FalsePositive
cluster_00028,Unclassified
cluster_00029,Sup-PT
cluster_00030,Sup-P
cluster_00031,Sup-PT
cluster_00032,FalsePositive
cluster_00033,FalsePositive
cluster_00034,CC6
cluster_00035,Sup-P
cluster_00036,Sup-PO
cluster_00037,MdLF
cluster_00038,TP
cluster_00039,Sup-P
cluster_00040,FalsePositive
cluster_00041,CC6
cluster_00042,Sup-P
cluster_00043,Sup-PT
cluster_00044,Partial
cluster_00045,FalsePositive
cluster_00046,Sup-P
cluster_00047,CC6
cluster_00048,MdLF
cluster_00049,FalsePositive
cluster_00050,TP
cluster_00051,Sup-PT
cluster_00052,Sup-PT
cluster_00053,CC6
cluster_00054,Sup-PO
cluster_00055,Sup-P
cluster_00056,FalsePositive
cluster_00057,CC6
cluster_00058,CC7
cluster_00059,Sup-P
cluster_00060,TP
cluster_00061,Sup-P
cluster_00062,Sup-PO
cluster_00063,CC7
cluster_00064,Sup-PO
cluster_00065,Sup-PO
cluster_00066,FalsePositive
cluster_00067,Sup-PO
cluster_00068,FalsePositive
cluster_00069,CC7
cluster_00070,CC7
cluster_00071,Sup-PO
cluster_00072,TO
cluster_00073,Sup-PT
cluster_00074,FalsePositive
cluster_00075,Sup-PO
cluster_00076,Sup-PT
cluster_00077,Unclassified
cluster_00078,Sup-O
cluster_00079,Sup-O
cluster_00080,FalsePositive
cluster_00081,FalsePositive
cluster_00082,Sup-PT
cluster_00083,Sup-O
cluster_00084,Sup-PO
cluster_00085,FalsePositive
cluster_00086,Sup-OT
cluster_00087,CC7
cluster_00088,FalsePositive
cluster_00089,FalsePositive
cluster_00090,Sup-O
cluster_00091,FalsePositive
cluster_00092,CC7
cluster_00093,Sup-PO
cluster_00094,Sup-O
cluster_00095,Sup-OT
cluster_00096,Sup-O
cluster_00097,Sup-OT
cluster_00098,FalsePositive
cluster_00099,FalsePositive
cluster_00100,TO
cluster_00101,Sup-O
cluster_00102,Partial
cluster_00103,FalsePositive
cluster_00104,FalsePositive
cluster_00105,Unclassified
cluster_00106,Sup-OT
cluster_00107,Sup-PT
cluster_00108,FalsePositive
cluster_00109,Intra-CBLM-I-P
cluster_00110,MCP
cluster_00111,MCP
cluster_00112,ILF
cluster_00113,FalsePositive
cluster_00114,FalsePositive
cluster_00115,MCP
cluster_00116,FalsePositive
cluster_00117,FalsePositive
cluster_00118,FalsePositive
cluster_00119,Sup-T
cluster_00120,FalsePositive
cluster_00121,Sup-T
cluster_00122,FalsePositive
cluster_00123,FalsePositive
cluster_00124,FalsePositive
cluster_00125,FalsePositive
cluster_00126,ICP
cluster_00127,FalsePositive
cluster_00128,ILF
cluster_00129,FalsePositive
cluster_00130,ICP
cluster_00131,FalsePositive
cluster_00132,FalsePositive
cluster_00133,FalsePositive
cluster_00134,FalsePositive
cluster_00135,Partial
cluster_00136,ILF
cluster_00137,CR-P
cluster_00138,ILF
cluster_00139,ILF
cluster_00140,FalsePositive
cluster_00141,CB
cluster_00142,FalsePositive
cluster_00143,Partial
cluster_00144,Partial
cluster_00145,FalsePositive
cluster_00146,CPC
cluster_00147,Partial
cluster_00148,CR-P
cluster_00149,FalsePositive
cluster_00150,Partial
cluster_00151,ILF
cluster_00152,FalsePositive
cluster_00153,Partial
cluster_00154,FalsePositive
cluster_00155,Sup-T
cluster_00156,Partial
cluster_00157,Partial
cluster_00158,ILF
cluster_00159,FalsePositive
cluster_00160,CPC
cluster_00161,Partial
cluster_00162,FalsePositive
cluster_00163,FalsePositive
cluster_00164,CC6
cluster_00165,ILF
cluster_00166,Unclassified
cluster_00167,ILF
cluster_00168,Unclassified
cluster_00169,AF
cluster_00170,AF
cluster_00171,AF
cluster_00172,CR-F
cluster_00173,CST
cluster_00174,SLF-II
cluster_00175,Unclassified
cluster_00176,AF
cluster_00177,Partial
cluster_00178,SLF-II
cluster_00179,Partial
cluster_00180,Partial
cluster_00181,AF
cluster_00182,Partial
cluster_00183,FalsePositive
cluster_00184,TF
cluster_00185,FalsePositive
cluster_00186,AF
cluster_00187,SLF-II
cluster_00188,SLF-II
cluster_00189,Partial
cluster_00190,TF
cluster_00191,Partial
cluster_00192,Unclassified
cluster_00193,TP
cluster_00194,CST
cluster_00195,Partial
cluster_00196,TF
cluster_00197,Unclassified
cluster_00198,Partial
cluster_00199,Partial
cluster_00200,Unclassified
cluster_00201,Sup-FP
cluster_00202,Partial
cluster_00203,FalsePositive
cluster_00204,Partial
cluster_00205,Sup-F
cluster_00206,AF
cluster_00207,Unclassified
cluster_00208,Partial
cluster_00209,SLF-III
cluster_00210,SLF-II
cluster_00211,TF
cluster_00212,SLF-III
cluster_00213,Partial
cluster_00214,Partial
cluster_00215,Unclassified
cluster_00216,SLF-II
cluster_00217,Sup-FP
cluster_00218,Unclassified
cluster_00219,SLF-II
cluster_00220,SLF-III
cluster_00221,Unclassified
cluster_00222,Sup-F
cluster_00223,SF
cluster_00224,TF
cluster_00225,Partial
cluster_00226,Partial
cluster_00227,Unclassified
cluster_00228,Unclassified
cluster_00229,SLF-III
cluster_00230,Unclassified
cluster_00231,Unclassified
cluster_00232,Sup-F
cluster_00233,Partial
cluster_00234,Unclassified
cluster_00235,Partial
cluster_00236,SLF-II
cluster_00237,SF
cluster_00238,CST
cluster_00239,Sup-FP
cluster_00240,Unclassified
cluster_00241,Unclassified
cluster_00242,SLF-I
cluster_00243,Unclassified
cluster_00244,FalsePositive
cluster_00245,SLF-III
cluster_00246,Sup-F
cluster_00247,Partial
cluster_00248,Partial
cluster_00249,Partial
cluster_00250,SLF-I
cluster_00251,CC4
cluster_00252,CC2
cluster_00253,CC3
cluster_00254,SLF-I
cluster_00255,FalsePositive
cluster_00256,TF
cluster_00257,Partial
cluster_00258,CC4
cluster_00259,Sup-F
cluster_00260,FalsePositive
cluster_00261,Sup-F
cluster_00262,Sup-F
cluster_00263,CC3
cluster_00264,CC3
cluster_00265,FalsePositive
cluster_00266,SLF-II
cluster_00267,Sup-F
cluster_00268,FalsePositive
cluster_00269,CC4
cluster_00270,Unclassified
cluster_00271,SLF-I
cluster_00272,CC4
cluster_00273,TF
cluster_00274,Sup-P
cluster_00275,Sup-F
cluster_00276,Sup-F
cluster_00277,FalsePositive
cluster_00278,Sup-F
cluster_00279,CB
cluster_00280,FalsePositive
cluster_00281,SLF-I
cluster_00282,CB
cluster_00283,SLF-II
cluster_00284,CB
cluster_00285,FalsePositive
cluster_00286,Partial
cluster_00287,Sup-F
cluster_00288,Unclassified
cluster_00289,SP
cluster_00290,SLF-I
cluster_00291,Sup-F
cluster_00292,AF
cluster_00293,Sup-F
cluster_00294,Sup-F
cluster_00295,Unclassified
cluster_00296,Sup-F
cluster_00297,Partial
cluster_00298,Sup-F
cluster_00299,Sup-F
cluster_00300,Sup-F
cluster_00301,SF
cluster_00302,FalsePositive
cluster_00303,Sup-F
cluster_00304,Sup-F
cluster_00305,CB
cluster_00306,CC3
cluster_00307,SLF-I
cluster_00308,Sup-P
cluster_00309,FalsePositive
cluster_00310,Partial
cluster_00311,TP
cluster_00312,CC3
cluster_00313,CB
cluster_00314,SLF-I
cluster_00315,CC4
cluster_00316,SLF-I
cluster_00317,Partial
cluster_00318,PLIC
cluster_00319,Sup-F
cluster_00320,Sup-FP
cluster_00321,CB
cluster_00322,Sup-F
cluster_00323,CC5
cluster_00324,SLF-I
cluster_00325,FalsePositive
cluster_00326,FalsePositive
cluster_00327,Unclassified
cluster_00328,SF
cluster_00329,SLF-I
cluster_00330,FalsePositive
cluster_00331,CC3
cluster_00332,FalsePositive
cluster_00333,Sup-F
cluster_00334,SLF-II
cluster_00335,FalsePositive
cluster_00336,FalsePositive
cluster_00337,Sup-P
cluster_00338,Sup-F
cluster_00339,CC3
cluster_00340,Sup-F
cluster_00341,FalsePositive
cluster_00342,SLF-I
cluster_00343,FalsePositive
cluster_00344,Sup-F
cluster_00345,Partial
cluster_00346,Sup-F
cluster_00347,SP
cluster_00348,AF
cluster_00349,Partial
cluster_00350,Sup-F
cluster_00351,CC4
cluster_00352,Sup-F
cluster_00353,FalsePositive
cluster_00354,FalsePositive
cluster_00355,CB
cluster_00356,Partial
cluster_00357,FalsePositive
cluster_00358,TF
cluster_00359,Sup-F
cluster_00360,Sup-F
cluster_00361,Sup-F
cluster_00362,Sup-P
cluster_00363,CB
cluster_00364,CC2
cluster_00365,Sup-F
cluster_00366,FalsePositive
cluster_00367,CB
cluster_00368,Sup-F
cluster_00369,Sup-P
cluster_00370,Unclassified
cluster_00371,FalsePositive
cluster_00372,CC2
cluster_00373,Sup-F
cluster_00374,Sup-F
cluster_00375,Sup-F
cluster_00376,CC3
cluster_00377,Sup-F
cluster_00378,Partial
cluster_00379,TF
cluster_00380,Sup-F
cluster_00381,Partial
cluster_00382,SLF-I
cluster_00383,FalsePositive
cluster_00384,Unclassified
cluster_00385,Sup-F
cluster_00386,FalsePositive
cluster_00387,CB
cluster_00388,Sup-F
cluster_00389,Sup-F
cluster_00390,Sup-F
cluster_00391,Sup-FP
cluster_00392,Sup-P
cluster_00393,Partial
cluster_00394,Sup-F
cluster_00395,SLF-I
cluster_00396,SLF-II
cluster_00397,CB
cluster_00398,Sup-FP
cluster_00399,CB
cluster_00400,Sup-F
cluster_00401,Sup-F
cluster_00402,SF
cluster_00403,FalsePositive
cluster_00404,CC2
cluster_00405,Sup-F
cluster_00406,CB
cluster_00407,Sup-F
cluster_00408,Sup-F
cluster_00409,Sup-F
cluster_00410,CB
cluster_00411,CC5
cluster_00412,Sup-F
cluster_00413,CB
cluster_00414,Sup-P
cluster_00415,Sup-FP
cluster_00416,Unclassified
cluster_00417,PLIC
cluster_00418,Partial
cluster_00419,Sup-P
cluster_00420,Sup-P
cluster_00421,Sup-P
cluster_00422,Sup-P
cluster_00423,FalsePositive
cluster_00424,Partial
cluster_00425,Unclassified
cluster_00426,Partial
cluster_00427,Sup-P
cluster_00428,FalsePositive
cluster_00429,FalsePositive
cluster_00430,Sup-P
cluster_00431,Sup-P
cluster_00432,Sup-PT
cluster_00433,MdLF
cluster_00434,SLF-I
cluster_00435,AF
cluster_00436,Sup-P
cluster_00437,FalsePositive
cluster_00438,CC6
cluster_00439,Sup-P
cluster_00440,Sup-PT
cluster_00441,CC5
cluster_00442,FalsePositive
cluster_00443,FalsePositive
cluster_00444,Sup-P
cluster_00445,Sup-F
cluster_00446,TP
cluster_00447,Sup-P
cluster_00448,Sup-P
cluster_00449,CC6
cluster_00450,Sup-P
cluster_00451,Partial
cluster_00452,Partial
cluster_00453,FalsePositive
cluster_00454,FalsePositive
cluster_00455,Sup-PT
cluster_00456,Sup-P
cluster_00457,CC6
cluster_00458,Sup-P
cluster_00459,Partial
cluster_00460,Sup-P
cluster_00461,FalsePositive
cluster_00462,MdLF
cluster_00463,Sup-P
cluster_00464,SLF-I
cluster_00465,CB
cluster_00466,CC5
cluster_00467,Sup-P
cluster_00468,Partial
cluster_00469,FalsePositive
cluster_00470,Partial
cluster_00471,FalsePositive
cluster_00472,MdLF
cluster_00473,Sup-F
cluster_00474,CB
cluster_00475,TP
cluster_00476,CC6
cluster_00477,Sup-FP
cluster_00478,Sup-FP
cluster_00479,Sup-FP
cluster_00480,FalsePositive
cluster_00481,SLF-I
cluster_00482,SLF-I
cluster_00483,Sup-P
cluster_00484,Sup-P
cluster_00485,CC5
cluster_00486,CC6
cluster_00487,Partial
cluster_00488,FalsePositive
cluster_00489,CC6
cluster_00490,MdLF
cluster_00491,FalsePositive
cluster_00492,MdLF
cluster_00493,FalsePositive
cluster_00494,FalsePositive
cluster_00495,Intra-CBLM-PaT
cluster_00496,Intra-CBLM-I-P
cluster_00497,Intra-CBLM-I-P
cluster_00498,Intra-CBLM-I-P
cluster_00499,TP
cluster_00500,Intra-CBLM-PaT
cluster_00501,Intra-CBLM-I-P
cluster_00502,Intra-CBLM-PaT
cluster_00503,Intra-CBLM-PaT
cluster_00504,Intra-CBLM-I-P
cluster_00505,Intra-CBLM-PaT
cluster_00506,FalsePositive
cluster_00507,Intra-CBLM-I-P
cluster_00508,Intra-CBLM-PaT
cluster_00509,FalsePositive
cluster_00510,Intra-CBLM-PaT
cluster_00511,FalsePositive
cluster_00512,Intra-CBLM-PaT
cluster_00513,Intra-CBLM-PaT
cluster_00514,Intra-CBLM-I-P
cluster_00515,ICP
cluster_00516,Intra-CBLM-PaT
cluster_00517,Intra-CBLM-PaT
cluster_00518,FalsePositive
cluster_00519,Intra-CBLM-PaT
cluster_00520,MCP
cluster_00521,Intra-CBLM-PaT
cluster_00522,FalsePositive
cluster_00523,MCP
cluster_00524,Intra-CBLM-I-P
cluster_00525,FalsePositive
cluster_00526,MCP
cluster_00527,Intra-CBLM-I-P
cluster_00528,Intra-CBLM-PaT
cluster_00529,Intra-CBLM-PaT
cluster_00530,FalsePositive
cluster_00531,FalsePositive
cluster_00532,Unclassified
cluster_00533,FalsePositive
cluster_00534,TO
cluster_00535,FalsePositive
cluster_00536,Intra-CBLM-PaT
cluster_00537,Intra-CBLM-I-P
cluster_00538,Intra-CBLM-PaT
cluster_00539,Intra-CBLM-PaT
cluster_00540,Intra-CBLM-I-P
cluster_00541,Intra-CBLM-PaT
cluster_00542,FalsePositive
cluster_00543,ILF
cluster_00544,MCP
cluster_00545,FalsePositive
cluster_00546,MCP
cluster_00547,FalsePositive
cluster_00548,Intra-CBLM-PaT
cluster_00549,CB
cluster_00550,MCP
cluster_00551,Intra-CBLM-PaT
cluster_00552,Intra-CBLM-PaT
cluster_00553,Sup-OT
cluster_00554,Sup-OT
cluster_00555,Partial
cluster_00556,Sup-T
cluster_00557,Sup-T
cluster_00558,CPC
cluster_00559,MdLF
cluster_00560,FalsePositive
cluster_00561,Intra-CBLM-I-P
cluster_00562,Intra-CBLM-PaT
cluster_00563,Intra-CBLM-PaT
cluster_00564,SO
cluster_00565,Intra-CBLM-PaT
cluster_00566,FalsePositive
cluster_00567,MdLF
cluster_00568,Unclassified
cluster_00569,Sup-OT
cluster_00570,Intra-CBLM-I-P
cluster_00571,Intra-CBLM-PaT
cluster_00572,Intra-CBLM-I-P
cluster_00573,FalsePositive
cluster_00574,Intra-CBLM-I-P
cluster_00575,Intra-CBLM-I-P
cluster_00576,FalsePositive
cluster_00577,CC2
cluster_00578,CC2
cluster_00579,FalsePositive
cluster_00580,FalsePositive
cluster_00581,SF
cluster_00582,SF
cluster_00583,CC2
cluster_00584,FalsePositive
cluster_00585,Sup-F
cluster_00586,SF
cluster_00587,SF
cluster_00588,CC2
cluster_00589,Sup-F
cluster_00590,FalsePositive
cluster_00591,Sup-F
cluster_00592,CC2
cluster_00593,Sup-F
cluster_00594,TF
cluster_00595,FalsePositive
cluster_00596,Sup-F
cluster_00597,FalsePositive
cluster_00598,CC2
cluster_00599,FalsePositive
cluster_00600,FalsePositive
cluster_00601,TF
cluster_00602,Partial
cluster_00603,Sup-F
cluster_00604,Sup-F
cluster_00605,Unclassified
cluster_00606,Partial
cluster_00607,Sup-F
cluster_00608,TP
cluster_00609,TF
cluster_00610,FalsePositive
cluster_00611,FalsePositive
cluster_00612,Sup-F
cluster_00613,SF
cluster_00614,FalsePositive
cluster_00615,CC1
cluster_00616,Sup-F
cluster_00617,FalsePositive
cluster_00618,SF
cluster_00619,Sup-F
cluster_00620,FalsePositive
cluster_00621,CC2
cluster_00622,TF
cluster_00623,SF
cluster_00624,CC2
cluster_00625,TF
cluster_00626,SF
cluster_00627,FalsePositive
cluster_00628,CC2
cluster_00629,Sup-F
cluster_00630,Sup-F
cluster_00631,CB
cluster_00632,Partial
cluster_00633,SF
cluster_00634,CC1
cluster_00635,Sup-F
cluster_00636,TF
cluster_00637,Sup-F
cluster_00638,FalsePositive
cluster_00639,Sup-F
cluster_00640,TF
cluster_00641,FalsePositive
cluster_00642,Sup-F
cluster_00643,FalsePositive
cluster_00644,Partial
cluster_00645,Sup-F
cluster_00646,CC2
cluster_00647,Sup-F
cluster_00648,Unclassified
cluster_00649,FalsePositive
cluster_00650,FalsePositive
cluster_00651,UF
cluster_00652,Sup-F
cluster_00653,Sup-F
cluster_00654,CC1
cluster_00655,FalsePositive
cluster_00656,Sup-F
cluster_00657,Sup-F
cluster_00658,Unclassified
cluster_00659,CC6
cluster_00660,FalsePositive
cluster_00661,Sup-F
cluster_00662,Sup-F
cluster_00663,FalsePositive
cluster_00664,CC2
cluster_00665,FalsePositive
cluster_00666,SF
cluster_00667,Sup-F
cluster_00668,FalsePositive
cluster_00669,FalsePositive
cluster_00670,Unclassified
cluster_00671,CC2
cluster_00672,FalsePositive
cluster_00673,Partial
cluster_00674,CST
cluster_00675,CR-F
cluster_00676,Partial
cluster_00677,Unclassified
cluster_00678,CPC
cluster_00679,Partial
cluster_00680,Partial
cluster_00681,IOFF
cluster_00682,CB
cluster_00683,IOFF
cluster_00684,FalsePositive
