Cluster Index, Region:Probability, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_00001,'1008:0.9722','1015:0.92717','1001:0.82389','1009:0.29168','1031:0.28699','5001:0.080927','1030:0.057248','1011:0.022639','1029:0.0077121','1007:0.0046833','1013:0.0020252','1025:0.00059671','8:9.9452e-05','1034:9.9452e-05','77:5.4247e-05','1016:2.7123e-05','1022:9.0411e-06',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_00002,'1029:0.87488','1007:0.82701','1008:0.81957','1009:0.66409','1011:0.65264','1025:0.55919','5001:0.51984','1013:0.19945','8:0.14924','1015:0.072665','1021:0.037762','1001:0.025581','7:0.0074635','1005:0.0029549','1016:0.0015121','1017:0.00077687','77:0.00048554','17:0.00027745','1022:4.1618e-05','2:2.7745e-05','1023:2.7745e-05','1030:1.3873e-05',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_00003,'1008:0.97529','1015:0.81738','1001:0.66102','1009:0.62157','1031:0.46234','5001:0.33637','1011:0.057715','1029:0.045701','1007:0.043275','1030:0.029373','1013:0.0059932','8:0.0038769','1025:0.0029373','1022:0.00062942','1016:0.00013683','77:0.00010034','1021:7.2976e-05','1024:2.7366e-05','1034:9.122e-06','1035:9.122e-06',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_00004,'251:0.99241','5001:0.95843','1025:0.85596','1010:0.8248','1008:0.80192','1011:0.63568','1029:0.62212','1009:0.47777','1007:0.38825','1013:0.29754','1021:0.2369','1015:0.22217','1005:0.15962','1001:0.086767','2:0.035223','8:0.030041','1031:0.0268','1023:0.0085001','1030:0.0064818','77:0.0036096','1016:0.0018048','10:0.001766','17:0.0014361','252:0.0012614','1035:0.00040754','7:0.00023288','1017:7.7626e-05','1034:7.7626e-05','11:3.8813e-05',,,,,,,,,,,,,,,,,,,,,,,
cluster_00005,'1025:0.96286','5001:0.62371','1010:0.5924','1029:0.25939','251:0.2164','1023:0.20493','1005:0.18969','1008:0.069833','10:0.046774','1021:0.032887','1013:0.024203','1031:0.022197','2:0.017118','1017:0.012992','1001:0.00721','1011:0.0063371','252:0.0063144','17:0.0052715','1030:0.004852','1035:0.0042172','1007:0.0021313','1009:0.0020179','11:0.001315','1016:0.001247','16:0.00077088','28:0.00063484','1024:0.00062351','1034:0.00060083','1022:0.00034009','1015:0.00014737','77:0.00013604','12:4.5346e-05','253:3.4009e-05','8:1.1336e-05',,,,,,,,,,,,,,,,,,
cluster_00006,'5001:0.97398','1029:0.92253','1009:0.80685','1015:0.52244','1001:0.47168','1025:0.46805','1007:0.43349','1008:0.24579','1013:0.19525','1030:0.14177','1031:0.12876','1016:0.088358','1017:0.03685','1011:0.034893','8:0.034845','17:0.015435','1022:0.0101','1010:0.0090546','1035:0.0087264','1023:0.0085441','2:0.0043389','1024:0.0020661','1034:0.0010938','7:0.00093584','1021:0.00075353','28:0.00014585','10:0.00010938','77:9.723e-05','12:2.4308e-05','11:1.2154e-05','1005:1.2154e-05',,,,,,,,,,,,,,,,,,,,,
cluster_00007,'1025:0.93977','1011:0.84608','1029:0.76837','1021:0.63243','1007:0.39751','5001:0.36521','1013:0.29592','1005:0.19553','1008:0.19266','8:0.043694','1017:0.011614','1009:0.0080823','1023:0.0039044','1010:0.002922','7:0.0026361','77:0.0010693','1022:0.00063415','1015:0.00016165','1024:6.2171e-05','1001:2.4869e-05','1031:1.2434e-05',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_00008,'1008:0.98225','1009:0.9193','5001:0.47255','1015:0.4463','1029:0.37393','1007:0.35758','1011:0.29278','1001:0.28016','1025:0.12318','1013:0.077839','8:0.04152','1030:0.012736','1031:0.0083208','1016:0.003529','1021:0.0022245','7:0.00016725','17:0.00015053','77:0.00010035','2:4.1813e-05','1005:4.1813e-05','1034:4.1813e-05','1017:1.6725e-05','1022:8.3626e-06','1035:8.3626e-06',,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_00009,'1025:0.99914','251:0.9924','1029:0.95933','1010:0.95746','1005:0.78913','1021:0.55707','5001:0.5472','1011:0.25992','1008:0.18026','1013:0.17378','2:0.01555','77:0.0016977','1007:0.0010046','17:0.00025114','1009:0.0001105','1023:0.0001105','10:0.00010046','1001:5.0228e-05','1030:2.0091e-05','1015:1.0046e-05','1016:1.0046e-05',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_00010,'1008:0.92223','1031:0.9196','1015:0.7749','1001:0.65901','5001:0.45348','1009:0.40582','1029:0.079272','1011:0.06472','1030:0.054438','1022:0.040318','1007:0.021357','1024:0.010042','1013:0.0016132','8:0.0010679','1025:0.00056801','77:0.00023857','1035:0.00020449','1003:1.136e-05','1010:1.136e-05','1023:1.136e-05',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
