Cluster Index	Location Label
cluster_00001.vtp	h
cluster_00002.vtp	h
cluster_00003.vtp	h
cluster_00004.vtp	c
cluster_00005.vtp	h
cluster_00006.vtp	h
cluster_00007.vtp	h
cluster_00008.vtp	h
cluster_00009.vtp	c
cluster_00010.vtp	h
cluster_00011.vtp	h
cluster_00012.vtp	h
cluster_00013.vtp	h
cluster_00014.vtp	h
cluster_00015.vtp	h
cluster_00016.vtp	h
cluster_00017.vtp	h
cluster_00018.vtp	h
cluster_00019.vtp	h
cluster_00020.vtp	h
cluster_00021.vtp	h
cluster_00022.vtp	h
cluster_00023.vtp	h
cluster_00024.vtp	h
cluster_00025.vtp	h
cluster_00026.vtp	h
cluster_00027.vtp	h
cluster_00028.vtp	h
cluster_00029.vtp	h
cluster_00030.vtp	h
cluster_00031.vtp	h
cluster_00032.vtp	h
cluster_00033.vtp	h
cluster_00034.vtp	c
cluster_00035.vtp	h
cluster_00036.vtp	h
cluster_00037.vtp	h
cluster_00038.vtp	h
cluster_00039.vtp	h
cluster_00040.vtp	h
cluster_00041.vtp	c
cluster_00042.vtp	h
cluster_00043.vtp	h
cluster_00044.vtp	h
cluster_00045.vtp	h
cluster_00046.vtp	h
cluster_00047.vtp	c
cluster_00048.vtp	h
cluster_00049.vtp	h
cluster_00050.vtp	h
cluster_00051.vtp	h
cluster_00052.vtp	h
cluster_00053.vtp	c
cluster_00054.vtp	h
cluster_00055.vtp	h
cluster_00056.vtp	h
cluster_00057.vtp	c
cluster_00058.vtp	c
cluster_00059.vtp	h
cluster_00060.vtp	h
cluster_00061.vtp	h
cluster_00062.vtp	h
cluster_00063.vtp	c
cluster_00064.vtp	h
cluster_00065.vtp	h
cluster_00066.vtp	h
cluster_00067.vtp	h
cluster_00068.vtp	h
cluster_00069.vtp	c
cluster_00070.vtp	c
cluster_00071.vtp	h
cluster_00072.vtp	h
cluster_00073.vtp	h
cluster_00074.vtp	c
cluster_00075.vtp	h
cluster_00076.vtp	h
cluster_00077.vtp	h
cluster_00078.vtp	h
cluster_00079.vtp	h
cluster_00080.vtp	h
cluster_00081.vtp	h
cluster_00082.vtp	h
cluster_00083.vtp	h
cluster_00084.vtp	h
cluster_00085.vtp	h
cluster_00086.vtp	h
cluster_00087.vtp	c
cluster_00088.vtp	h
cluster_00089.vtp	h
cluster_00090.vtp	h
cluster_00091.vtp	h
cluster_00092.vtp	c
cluster_00093.vtp	h
cluster_00094.vtp	h
cluster_00095.vtp	h
cluster_00096.vtp	h
cluster_00097.vtp	h
cluster_00098.vtp	h
cluster_00099.vtp	h
cluster_00100.vtp	h
cluster_00101.vtp	h
cluster_00102.vtp	h
cluster_00103.vtp	h
cluster_00104.vtp	h
cluster_00105.vtp	h
cluster_00106.vtp	h
cluster_00107.vtp	h
cluster_00108.vtp	h
cluster_00109.vtp	h
cluster_00110.vtp	c
cluster_00111.vtp	c
cluster_00112.vtp	h
cluster_00113.vtp	h
cluster_00114.vtp	h
cluster_00115.vtp	c
cluster_00116.vtp	h
cluster_00117.vtp	h
cluster_00118.vtp	h
cluster_00119.vtp	h
cluster_00120.vtp	h
cluster_00121.vtp	h
cluster_00122.vtp	h
cluster_00123.vtp	h
cluster_00124.vtp	h
cluster_00125.vtp	h
cluster_00126.vtp	h
cluster_00127.vtp	h
cluster_00128.vtp	h
cluster_00129.vtp	h
cluster_00130.vtp	h
cluster_00131.vtp	h
cluster_00132.vtp	h
cluster_00133.vtp	h
cluster_00134.vtp	h
cluster_00135.vtp	h
cluster_00136.vtp	h
cluster_00137.vtp	h
cluster_00138.vtp	h
cluster_00139.vtp	h
cluster_00140.vtp	h
cluster_00141.vtp	h
cluster_00142.vtp	h
cluster_00143.vtp	c
cluster_00144.vtp	h
cluster_00145.vtp	c
cluster_00146.vtp	c
cluster_00147.vtp	c
cluster_00148.vtp	h
cluster_00149.vtp	h
cluster_00150.vtp	h
cluster_00151.vtp	h
cluster_00152.vtp	h
cluster_00153.vtp	h
cluster_00154.vtp	h
cluster_00155.vtp	h
cluster_00156.vtp	h
cluster_00157.vtp	h
cluster_00158.vtp	h
cluster_00159.vtp	h
cluster_00160.vtp	c
cluster_00161.vtp	h
cluster_00162.vtp	h
cluster_00163.vtp	h
cluster_00164.vtp	c
cluster_00165.vtp	h
cluster_00166.vtp	h
cluster_00167.vtp	h
cluster_00168.vtp	h
cluster_00169.vtp	h
cluster_00170.vtp	h
cluster_00171.vtp	h
cluster_00172.vtp	h
cluster_00173.vtp	h
cluster_00174.vtp	h
cluster_00175.vtp	h
cluster_00176.vtp	h
cluster_00177.vtp	h
cluster_00178.vtp	h
cluster_00179.vtp	h
cluster_00180.vtp	h
cluster_00181.vtp	h
cluster_00182.vtp	h
cluster_00183.vtp	h
cluster_00184.vtp	h
cluster_00185.vtp	h
cluster_00186.vtp	h
cluster_00187.vtp	h
cluster_00188.vtp	h
cluster_00189.vtp	h
cluster_00190.vtp	h
cluster_00191.vtp	h
cluster_00192.vtp	h
cluster_00193.vtp	h
cluster_00194.vtp	h
cluster_00195.vtp	h
cluster_00196.vtp	h
cluster_00197.vtp	h
cluster_00198.vtp	h
cluster_00199.vtp	h
cluster_00200.vtp	h
cluster_00201.vtp	h
cluster_00202.vtp	h
cluster_00203.vtp	h
cluster_00204.vtp	h
cluster_00205.vtp	h
cluster_00206.vtp	h
cluster_00207.vtp	h
cluster_00208.vtp	h
cluster_00209.vtp	h
cluster_00210.vtp	h
cluster_00211.vtp	h
cluster_00212.vtp	h
cluster_00213.vtp	h
cluster_00214.vtp	h
cluster_00215.vtp	h
cluster_00216.vtp	h
cluster_00217.vtp	h
